,best_match_score,__id_left,__id_right,Course,City,State,Country,id,g_course,g_address,g_city,g_state,g_country,g_latitude,g_longitude
322,0.3018552773987105,19_left,2739_right,Streamsong Resort (Red),Streamsong,Florida,US,2740,Streamsong Golf Resort - Red Course,  1000 Streamsong Dr,Bowling Green,Florida,US,27.69248365,-81.93421414184263
323,0.7724291777321844,20_left,4687_right,Manele Golf Course,"Lanai City, Lanai",Hawaii,US,4688,Manele Golf Course,  1 Manele Bay Road,Lanai,Hawaii,US,20.827894,-156.914741
469,1.1400056180445013,21_left,17944_right,Chambers Bay,University Place,Washington,US,17945,Chambers Bay Golf Course,  6320 Grandview Dr. W,University Place,Washington,US,47.2213849,-122.5588209
470,0.4161719926201883,22_left,4685_right,Kapalua Resort (Plantation),"Kapalua, Maui",Hawaii,US,4686,The Kapalua Golf Resort - The Plantation Course,  2000 Plantation Club Dr,Lahaina,Hawaii,US,21.006348,-156.638239
471,0.9211656861082673,23_left,14089_right,Karsten Creek Golf Club,Stillwater,Oklahoma,US,14090,Karsten Creek Golf Club,  1800 S Memorial Dr,Stillwater,Oklahoma,US,36.0965924,-97.1897693
472,1.1442425672046457,24_left,15345_right,Harbour Town Golf Links,Hilton Head Island,South Carolina,US,15346,Sea Pines Resort - Harbour Town Golf Links,  11 Lighthouse Ln,Hilton Head Island,South Carolina,US,32.13728719447342,-80.80949125148662
474,0.29772875679061156,25_left,2738_right,Streamsong Resort (Blue),Streamsong,Florida,US,2739,Streamsong Golf Resort - Blue Course,  1000 Streamsong Dr,Bowling Green,Florida,US,27.69248365,-81.93421414184263
475,0.12312934841311667,26_left,4666_right,Mauna Kea Golf Course,Kamuela,Hawaii,US,4667,Hapuna Golf Course,  62-100 Kauna'Oa Drive,Kamuela,Hawaii,US,20.8281,-156.912758
476,1.7426297284447974,27_left,17508_right,The Highland Course at Primland Resort,Meadows of Dan,Virginia,US,17509,The Highland Course at Primland,  2000 Busted Rock Road,Meadows of Dan,Virginia,US,36.73652,-80.39534
478,1.1538322427762833,28_left,18488_right,Mammoth Dunes,Nekoosa,Wisconsin,US,18489,Mammoth Dunes,  1697 Leopold Way,Nekoosa,Wisconsin,US,44.171016,-89.852533
479,0.43068871488316696,29_left,9929_right,Ozarks National at Big Cedar Lodge,Hollister,Missouri,US,9930,Big Cedar Lodge - Mountain Top Course,  1250 Golf Club Drive,Hollister,Missouri,US,36.560824,-93.196783
