,__id_left,__id_right,match_score,match_rank,course,g_course,city,g_city,state,g_state,country,g_country
8887,367_left,9583_right,1.5415884106176456,1,The Wilderness at Fortune Bay,The Wilderness at Fortune Bay,Tower,Tower,Minnesota,Minnesota,US,US
8888,368_left,10560_right,0.8391221668595741,1,Cascata,Cascata,Boulder City,Boulder City,Nevada,Nevada,US,US
8889,369_left,10318_right,0.010637079724296224,1,Wild Horse Golf Club,Iron Horse Golf Club,Gothenburg,Ashland,Nebraska,Nebraska,US,US
8890,369_left,10337_right,-0.23528027534602097,2,Wild Horse Golf Club,River Wilds Golf Club,Gothenburg,Blair,Nebraska,Nebraska,US,US
8891,369_left,10369_right,-0.3588491692166216,3,Wild Horse Golf Club,Franklin Golf Club,Gothenburg,Franklin,Nebraska,Nebraska,US,US
8892,369_left,10458_right,-0.36539232405475386,4,Wild Horse Golf Club,Oakland Golf Club,Gothenburg,Oakland,Nebraska,Nebraska,US,US
8893,369_left,10470_right,-0.36539232405475386,5,Wild Horse Golf Club,Oakland Golf Club,Gothenburg,Oakland,Nebraska,Nebraska,US,US
8939,370_left,14587_right,1.5858545784235445,1,Nemacolin Woodlands Resort (Mystic Rock),Nemacolin Woodlands Resort - Mystic Rock,Farmington,Farmington,Pennsylvania,Pennsylvania,US,US
8940,371_left,12789_right,1.5346267137195038,1,Pine Needles Lodge and Golf Club,Pine Needles Lodge & Golf Club,Southern Pines,Southern Pines,North Carolina,North Carolina,US,US
8941,371_left,12398_right,-0.18736918615827708,2,Pine Needles Lodge and Golf Club,Pine Hollow Golf Club,Southern Pines,Clayton,North Carolina,North Carolina,US,US
8942,371_left,12309_right,-0.19460278632521122,3,Pine Needles Lodge and Golf Club,Boone Golf Club,Southern Pines,Boone,North Carolina,North Carolina,US,US
8943,371_left,12395_right,-0.3597574685687907,4,Pine Needles Lodge and Golf Club,Cherryville Golf and Country Club,Southern Pines,Cherryville,North Carolina,North Carolina,US,US
8944,371_left,12373_right,-0.46129005171862086,5,Pine Needles Lodge and Golf Club,Carolina Golf Club,Southern Pines,Charlotte,North Carolina,North Carolina,US,US
9088,372_left,18357_right,1.095878824849591,1,Blackwolf Run (Meadown Valleys),Blackwolf Run Golf Course - Meadow Valleys,Kohler,Kohler,Wisconsin,Wisconsin,US,US
9089,373_left,9795_right,1.254590456811281,1,Old Waverly Golf Club,Old Waverly Golf Club,West Point,West Point,Mississippi,Mississippi,US,US
9090,374_left,12690_right,0.894516068917301,1,Pinehurst Resort (No. 8),Pinehurst Resort - #8,Pinehurst,Pinehurst,North Carolina,North Carolina,US,US
9091,375_left,4318_right,0.9195696093099142,1,Great Waters Course at Reynolds Plantation,Reynolds Lake Oconee - Great Waters,Eatonton,Eatonton,Georgia,Georgia,US,US
9092,375_left,4319_right,-0.3553386213418708,2,Great Waters Course at Reynolds Plantation,Uncle Remus Golf Course,Eatonton,Eatonton,Georgia,Georgia,US,US
9093,375_left,4256_right,-0.570755648848758,3,Great Waters Course at Reynolds Plantation,The Woods Golf Course - White,Eatonton,Cochran,Georgia,Georgia,US,US
9094,375_left,4189_right,-0.6215117443622612,4,Great Waters Course at Reynolds Plantation,John A. White Golf Course,Eatonton,Atlanta,Georgia,Georgia,US,US
9095,375_left,4274_right,-0.6529287758832236,5,Great Waters Course at Reynolds Plantation,The Oaks Course,Eatonton,Covington,Georgia,Georgia,US,US
9231,376_left,8898_right,0.7996701091020114,1,The Loop (Red),Forest Dunes Golf Club - The Loop (Red),Roscommon,Roscommon,Michigan,Michigan,US,US
9232,377_left,2355_right,1.0974946818305535,1,Red Sky Ranch and Golf Club (Fazio),Red Sky Golf Club - Fazio Course,Wolcott,Wolcott,Colorado,Colorado,US,US
9233,377_left,2144_right,-0.2859740347917806,2,Red Sky Ranch and Golf Club (Fazio),Springs Ranch Golf Club,Wolcott,Colorado Springs,Colorado,Colorado,US,US
9234,377_left,2106_right,-0.2971100460224549,3,Red Sky Ranch and Golf Club (Fazio),River Valley Ranch Golf Club,Wolcott,Carbondale,Colorado,Colorado,US,US
9235,377_left,2105_right,-0.49326832520846786,4,Red Sky Ranch and Golf Club (Fazio),Four Mile Ranch Golf Club,Wolcott,Canon City,Colorado,Colorado,US,US
9236,377_left,2041_right,-0.6582882558718236,5,Red Sky Ranch and Golf Club (Fazio),Aspen Golf Club,Wolcott,Aspen,Colorado,Colorado,US,US
9380,378_left,13033_right,1.0102958254606065,1,Firestone Country Club (South),Firestone Country Club - South,Akron,Akron,Ohio,Ohio,US,US
9381,379_left,4695_right,0.016682677198928145,1,Princeville Makai Golf Club,The Makai Course,Kauai,Princeville,Hawaii,Hawaii,US,US
9382,379_left,4696_right,-0.07931052633177585,2,Princeville Makai Golf Club,The Makai Course - Woods,Kauai,Princeville,Hawaii,Hawaii,US,US
9383,379_left,4661_right,-0.1196562790166131,3,Princeville Makai Golf Club,Makani Golf Club,Kauai,Kailua Kona,Hawaii,Hawaii,US,US
9384,379_left,4644_right,-0.3351398133410116,4,Princeville Makai Golf Club,Moanalua Golf Club,Kauai,Honolulu,Hawaii,Hawaii,US,US
9385,379_left,4694_right,-0.36524281290740973,5,Princeville Makai Golf Club,Kiahuna Golf Club,Kauai,Poipu,Hawaii,Hawaii,US,US
9511,380_left,14155_right,0.8165406044300614,1,Tetherow Golf Club,The Golf Club at Tetherow,Bend,Bend,Oregon,Oregon,US,US
9512,381_left,5622_right,1.2732292234977025,1,The Pfau Course at Indiana University,Pfau Course at Indiana University,Bloomington,Bloomington,Indiana,Indiana,US,US
9513,381_left,6048_right,-0.2571508463033439,2,The Pfau Course at Indiana University,The Course at Aberdeen,Bloomington,Valparaiso,Indiana,Indiana,US,US
9514,381_left,5853_right,-0.440735990016618,3,The Pfau Course at Indiana University,The Fort Golf Course,Bloomington,Indianapolis,Indiana,Indiana,US,US
9515,381_left,1886_right,-0.4476184200541452,4,The Pfau Course at Indiana University,The Stanford University Golf Course,Bloomington,Stanford,Indiana,California,US,US
9516,381_left,5763_right,-0.470084374027378,5,The Pfau Course at Indiana University,The Legends Golf Club - The Dye Course,Bloomington,Franklin,Indiana,Indiana,US,US
9650,382_left,13588_right,1.0022361583258166,1,The Virtues Golf Club,The Virtues Golf Club,Nashport,Nashport,Ohio,Ohio,US,US
9651,383_left,15511_right,1.2186774222890155,1,Caledonia Golf and Fish Club,Caledonia Golf & Fish Club,Pawleys Island,Pawleys Island,South Carolina,South Carolina,US,US
9652,383_left,15519_right,0.24853211168754924,2,Caledonia Golf and Fish Club,Tradition Golf Club,Pawleys Island,Pawleys Island,South Carolina,South Carolina,US,US
9653,383_left,15518_right,0.19633458682132307,3,Caledonia Golf and Fish Club,The Reserve Golf Club,Pawleys Island,Pawleys Island,South Carolina,South Carolina,US,US
9654,383_left,15520_right,0.13311327828341551,4,Caledonia Golf and Fish Club,True Blue Golf Club,Pawleys Island,Pawleys Island,South Carolina,South Carolina,US,US
9655,383_left,15516_right,0.06889868947219807,5,Caledonia Golf and Fish Club,Pawleys Plantation Golf & Country Club,Pawleys Island,Pawleys Island,South Carolina,South Carolina,US,US
9682,384_left,10594_right,0.5396195574250415,1,Edgewood Tahoe Golf Course,Edgewood Tahoe Golf Course,Stateline,Lake Tahoe,Nevada,Nevada,US,US
